train/loss_avg,train/loss,train/loss_std,lr/train,time/total_timesteps
0.8795594883278282,0.6558902263641357,0.15841751399629522,0.0012251713601397463,5000
0.7832514068603516,0.7385910749435425,0.08248448454374581,0.0012251713601397463,10000
0.7272941637039184,0.6191531419754028,0.09599935001982102,0.0012251713601397463,15000
0.6646361520767212,0.7645339965820312,0.10895171250073743,0.0012251713601397463,20000
0.6794993183135987,0.6573874950408936,0.1065200818672257,0.0012251713601397463,25000
0.6166730129241943,0.6371045112609863,0.11491316706669352,0.0012251713601397463,30000
0.6056875973701477,0.5849358439445496,0.13287375934067405,0.0012251713601397463,35000
0.5946882662773132,0.4687660336494446,0.15930686573637015,0.0012251713601397463,40000
0.5692388917922974,0.6728497743606567,0.1318399192850115,0.0012251713601397463,45000
0.5695490436553955,0.4042760729789734,0.1464152582213685,0.0012251713601397463,50000
0.5225254864692688,0.5366531014442444,0.11913309180629725,0.0012251713601397463,55000
0.5075640900611877,0.4883280396461487,0.14441221464143156,0.0012251713601397463,60000
0.5340718615531921,0.6648232340812683,0.1546865896120535,0.0012251713601397463,65000
0.5441650341987609,0.7291463613510132,0.14569355864893918,0.0012251713601397463,70000
0.4889775489807129,0.8126208782196045,0.15564332028226158,0.0012251713601397463,75000
0.5344806056976318,0.489121675491333,0.15291966527876094,0.0012251713601397463,80000
0.48961430130004885,0.6282591819763184,0.13474801868918684,0.0012251713601397463,85000
0.45443793840408325,0.2535155117511749,0.1399035106271266,0.0012251713601397463,90000
0.5029034622192383,0.7727035880088806,0.15426980137652127,0.0012251713601397463,95000
0.4821102843284607,0.5508392453193665,0.1244299398554916,0.0012251713601397463,100000
0.4985468477725983,0.24773862957954407,0.1377280872934684,0.0012251713601397463,105000
0.44028489756584166,0.44834011793136597,0.1367740032273113,0.0012251713601397463,110000
0.44977731580734254,0.5759615302085876,0.1273022578181796,0.0012251713601397463,115000
0.45873053541183473,0.44430631399154663,0.13487629805422433,0.0012251713601397463,120000
0.4480951560258865,0.15069706737995148,0.12788544515318837,0.0012251713601397463,125000
0.4858596664190292,0.45163699984550476,0.13866176311332679,0.0012251713601397463,130000
0.4855934416770935,0.5308457612991333,0.11957335062314332,0.0012251713601397463,135000
0.4559835660934448,0.5235563516616821,0.13064330177783737,0.0012251713601397463,140000
0.44381055393218993,0.33114850521087646,0.11722265724325134,0.0012251713601397463,145000
0.4656545576095581,0.3273817300796509,0.11000239192942075,0.0012251713601397463,150000
0.44096524925231934,0.46649932861328125,0.15310603787426516,0.0012251713601397463,155000
0.4417856174468994,0.24379731714725494,0.12900269035526493,0.0012251713601397463,160000
0.4505146288871765,0.595885694026947,0.13999540862581636,0.0012251713601397463,165000
0.4172192933082581,0.4163680076599121,0.14546594949424532,0.0012251713601397463,170000
0.39885060696601865,0.33605632185935974,0.11181212196194809,0.0012251713601397463,175000
0.39819239420890806,0.4310174584388733,0.1437559126094202,0.0012251713601397463,180000
0.379736643075943,0.23071935772895813,0.13386454639574114,0.0012251713601397463,185000
0.3940750342845917,0.5785620808601379,0.13260096857853473,0.0012251713601397463,190000
0.40439859614372253,0.24510636925697327,0.12313655621390424,0.0012251713601397463,195000
0.3288613722324371,0.376049280166626,0.11373517624929595,0.0012251713601397463,200000
