time/total_timesteps,train/loss,lr/train,eval/loss,eval/std_error,eval/win_rate_over_baseline,eval/baseline_std,eval/baseline_error
1000,inf,0.001,,,,,
2000,0.8507445001602173,0.001,,,,,
3000,0.9134674396514892,0.001,,,,,
4000,0.9232507495880127,0.001,,,,,
5000,0.8692319722175598,0.001,,,,,
6000,0.8216632618904114,0.001,,,,,
7000,0.748106562614441,0.001,,,,,
8000,0.7852569904327392,0.001,,,,,
9000,0.7855091943740845,0.001,,,,,
10000,0.8028199424743653,0.001,,,,,
10000,,,0.6344838201999664,0.44397136716253305,0.6000000238418579,1.6048744406327824,2.1744155775755645
11000,0.7634587764739991,0.001,,,,,
12000,0.7951760282516479,0.001,,,,,
13000,0.7605058698654175,0.001,,,,,
14000,0.7805575284957885,0.001,,,,,
15000,0.7361386775970459,0.001,,,,,
16000,0.7861323108673096,0.001,,,,,
17000,0.756459077835083,0.001,,,,,
18000,0.7439118728637696,0.001,,,,,
19000,0.7852774705886841,0.001,,,,,
20000,0.7558783922195434,0.001,,,,,
20000,,,0.8890665650367737,0.45549559536411843,0.7000000476837158,1.5868417267843398,2.8730872094631197
21000,0.7364700889587402,0.001,,,,,
22000,0.7544349336624145,0.001,,,,,
23000,0.707581503868103,0.001,,,,,
24000,0.6831508865356445,0.001,,,,,
25000,0.7512514162063598,0.001,,,,,
26000,0.6967768125534057,0.001,,,,,
27000,0.7048020505905152,0.001,,,,,
28000,0.7006522073745728,0.001,,,,,
29000,0.712941442489624,0.001,,,,,
30000,0.7419085493087768,0.001,,,,,
30000,,,0.9225319743156433,0.8135555829412576,0.7333333492279053,1.5180818909838478,2.515791189670563
31000,0.6340958518981934,0.001,,,,,
32000,0.6927053174972534,0.001,,,,,
33000,0.6397797651290894,0.001,,,,,
34000,0.6058541975021362,0.001,,,,,
35000,0.5684194173812867,0.001,,,,,
36000,0.6076064538955689,0.001,,,,,
37000,0.6445300569534301,0.001,,,,,
38000,0.6224582605361938,0.001,,,,,
39000,0.6367237758636475,0.001,,,,,
40000,0.6758891201019287,0.001,,,,,
40000,,,0.5546088814735413,0.279472146540661,0.75,1.1607242155255981,1.6141223669052125
41000,0.6823191590309143,0.001,,,,,
42000,0.5730845408439637,0.001,,,,,
43000,0.5625146346092225,0.001,,,,,
44000,0.6509744229316712,0.001,,,,,
45000,0.5488125872612,0.001,,,,,
46000,0.619049611568451,0.001,,,,,
47000,0.5382430839538574,0.001,,,,,
48000,0.6540528020858765,0.001,,,,,
49000,0.6116096992492676,0.001,,,,,
50000,0.5532647666931152,0.001,,,,,
50000,,,0.6599688775837421,0.7110801628507307,0.800000011920929,1.6728864236578465,2.36957865357399
51000,0.6252940015792847,0.001,,,,,
52000,0.6403957166671753,0.001,,,,,
53000,0.5825258021354676,0.001,,,,,
54000,0.6022952933311463,0.001,,,,,
55000,0.5054948296546936,0.001,,,,,
56000,0.6289248795509338,0.001,,,,,
57000,0.5608004465103149,0.001,,,,,
58000,0.5611923942565918,0.001,,,,,
59000,0.5153354063034058,0.001,,,,,
60000,0.744093463897705,0.001,,,,,
60000,,,0.5592413991689682,0.37063995030746183,0.800000011920929,1.1562992377739618,2.051405167579651
61000,0.4877808485031128,0.001,,,,,
62000,0.5556008548736572,0.001,,,,,
63000,0.5827311239242554,0.001,,,,,
64000,0.6542060127258301,0.001,,,,,
65000,0.65257896900177,0.001,,,,,
66000,0.52858922290802,0.001,,,,,
67000,0.5762408666610718,0.001,,,,,
68000,0.5657423887252807,0.001,,,,,
69000,0.5412274453639984,0.001,,,,,
70000,0.63016668343544,0.001,,,,,
70000,,,0.8408327162265777,0.729741370430268,0.7428571581840515,1.1053601519554936,1.1350741304457188
71000,0.5547770237922669,0.001,,,,,
72000,0.5364784483909607,0.001,,,,,
73000,0.5747053699493408,0.001,,,,,
74000,0.5509845848083497,0.001,,,,,
75000,0.5051832919120789,0.001,,,,,
76000,0.5566163983345032,0.001,,,,,
77000,0.5121352603435516,0.001,,,,,
78000,0.496410525560379,0.001,,,,,
79000,0.47331527709960936,0.001,,,,,
80000,0.5675256576538086,0.001,,,,,
80000,,,0.8358969002962112,1.3968653504685133,0.75,1.0793903696388656,1.6148318767547607
81000,0.516072169303894,0.001,,,,,
82000,0.5753605585098267,0.001,,,,,
83000,0.4990119915008545,0.001,,,,,
84000,0.5943845167160035,0.001,,,,,
85000,0.5223305170536041,0.001,,,,,
86000,0.5443697412014008,0.001,,,,,
87000,0.48057908201217653,0.001,,,,,
88000,0.5289970335960388,0.001,,,,,
89000,0.5444046115875244,0.001,,,,,
90000,0.5150759229660035,0.001,,,,,
90000,,,0.5595778048038482,0.6917413716013066,0.7555555701255798,1.4250051856854271,2.308058613538742
91000,0.5539841570854187,0.001,,,,,
92000,0.5245351767539979,0.001,,,,,
93000,0.4933284466266632,0.001,,,,,
94000,0.48464205050468445,0.001,,,,,
95000,0.5866676807403565,0.001,,,,,
96000,0.5969941749572754,0.001,,,,,
97000,0.4890892000198364,0.001,,,,,
98000,0.4817101306915283,0.001,,,,,
99000,0.45912148666381836,0.001,,,,,
100000,0.5874401369094848,0.001,,,,,
100000,,,0.5913891971111298,0.8203444804031349,0.7800000309944153,0.2750423431396484,4.363171195983886
101000,0.45480813360214234,0.001,,,,,
102000,0.40539959287643434,0.001,,,,,
103000,0.48162056016921995,0.001,,,,,
104000,0.5616196751594543,0.001,,,,,
105000,0.4668383941650391,0.001,,,,,
106000,0.4713317031860352,0.001,,,,,
107000,0.5259778056144714,0.001,,,,,
108000,0.4515561261177063,0.001,,,,,
109000,0.47745221519470216,0.001,,,,,
110000,0.5044101114273072,0.001,,,,,
110000,,,0.626000528037548,0.909699787676048,0.7818182110786438,1.7246432284185733,2.9916238032281397
