time/total_timesteps,train/loss,lr/train,train/loss_avg,train/loss_std
5000,0.9016400575637817,0.013676100756451983,1.0338871415275808,1.1995199671520085
10000,0.9384660720825195,0.013676100756451983,0.8059754316329956,0.1664133449854377
15000,0.5753943920135498,0.013676100756451983,0.7290547664642334,0.18881886430596095
20000,0.8834822177886963,0.013676100756451983,0.6006887104034424,0.21218908380953533
25000,0.4353548288345337,0.013676100756451983,0.6138226575851441,0.19496540755941677
30000,0.6331629753112793,0.013676100756451983,0.6457288084030152,0.15738869375825904
35000,0.4792139530181885,0.013676100756451983,0.6553377023696899,0.16957854935033642
40000,0.656673789024353,0.013676100756451983,0.658439582824707,0.15594369055694074
45000,0.8287084102630615,0.013676100756451983,0.6769966899871827,0.19960979155815814
50000,0.38598501682281494,0.013676100756451983,0.6542331745147705,0.15666143256470738
55000,0.6528115272521973,0.013676100756451983,0.602612599182129,0.1630504814038502
60000,0.4600474536418915,0.013676100756451983,0.6203755964279175,0.1683921725381634
65000,0.4371270537376404,0.013676100756451983,0.597810142993927,0.16947640018886306
70000,0.9986578226089478,0.013676100756451983,0.5877481770515441,0.17605659052405956
75000,0.5912487506866455,0.013676100756451983,0.5991433002471924,0.14290102306367783
80000,0.5847724080085754,0.013676100756451983,0.5777970981597901,0.16327759279037643
85000,0.4384117126464844,0.013676100756451983,0.5669037811279297,0.15295448495671204
90000,0.6368489265441895,0.013676100756451983,0.5974266620635986,0.14231414891638489
95000,0.4654349088668823,0.013676100756451983,0.5744196859359741,0.1741253369114785
100000,0.4530581831932068,0.013676100756451983,0.5285194005966186,0.17061748111239539
105000,0.6352335214614868,0.013676100756451983,0.5445120557785034,0.16869578540205488
110000,0.4632098078727722,0.013676100756451983,0.5470828214645386,0.13464427558596517
115000,0.4905257821083069,0.013676100756451983,0.6068486386299133,0.15729501992283362
120000,0.49653545022010803,0.013676100756451983,0.5623345887184144,0.16012259626923872
125000,0.7397567629814148,0.013676100756451983,0.6274560645103454,0.14459261796903938
130000,0.8645308017730713,0.013676100756451983,0.588997935962677,0.16025935454835355
135000,0.6160145998001099,0.013676100756451983,0.6168111280441284,0.15420648667639553
140000,0.5529599785804749,0.013676100756451983,0.5838937032699585,0.12181129233468603
145000,0.4144289493560791,0.013676100756451983,0.628622885131836,0.14507061004456165
150000,0.46195870637893677,0.013676100756451983,0.6228213563919067,0.1575993691788687
155000,0.48901283740997314,0.013676100756451983,0.6078127662658691,0.168236852874
160000,0.6693799495697021,0.013676100756451983,0.6051516710281372,0.13644871798726643
165000,0.890629231929779,0.013676100756451983,0.5991892489433288,0.14044290234663548
170000,0.674386739730835,0.013676100756451983,0.6453346245765686,0.1621905345631575
175000,0.4550440311431885,0.013676100756451983,0.6434471500396729,0.15184778263037163
180000,0.5898215770721436,0.013676100756451983,0.6244099361419678,0.1399830322912568
185000,0.6468020677566528,0.013676100756451983,0.6364982343673706,0.1379361769347094
190000,0.5430712699890137,0.013676100756451983,0.6823079065322876,0.13475070310122278
195000,0.6750869154930115,0.013676100756451983,0.6842120888710022,0.13318516003548866
200000,0.8745903968811035,0.013676100756451983,0.6668501788139344,0.14121335304798877
