lr/train,time/total_timesteps,train/loss_avg,train/loss_std,train/loss
0.002152313594179176,5000,2.7003648435736722,4.925880172407593,0.9128824472427368
0.002152313594179176,10000,0.8350650812149047,0.0944573119065353,0.8421412706375122
0.002152313594179176,15000,0.8307318444252014,0.06868514517575408,0.7540845274925232
0.002152313594179176,20000,0.7937670042991638,0.09531908409767366,0.6636106371879578
0.002152313594179176,25000,0.8194713045120239,0.11520520894184148,0.683834433555603
0.002152313594179176,30000,0.7154764196395874,0.11628175455730515,0.7349447011947632
0.002152313594179176,35000,0.7208056305885315,0.11747876799527165,0.6343490481376648
0.002152313594179176,40000,0.6887716311454773,0.1302807216599889,0.5528506636619568
0.002152313594179176,45000,0.6976759705543518,0.12097479508339119,0.8892937302589417
0.002152313594179176,50000,0.7068020087242126,0.14600807288307924,0.9226260185241699
0.002152313594179176,55000,0.6953151188850403,0.14828260418741787,0.5632151961326599
0.002152313594179176,60000,0.7115034502983093,0.12748331716046174,0.761206865310669
0.002152313594179176,65000,0.7390205916404724,0.12651300193101694,0.6370140910148621
0.002152313594179176,70000,0.6821237694740295,0.12344815859615568,0.7711362838745117
0.002152313594179176,75000,0.7224655256271363,0.12604716325273785,0.46864187717437744
0.002152313594179176,80000,0.6184095552444459,0.119710773040408,0.6592996120452881
0.002152313594179176,85000,0.6498168842315674,0.15360412997814038,0.5848324298858643
0.002152313594179176,90000,0.6197671701431274,0.12448756073146772,0.5909859538078308
0.002152313594179176,95000,0.6255742597579956,0.14339324907334383,0.7126944065093994
0.002152313594179176,100000,0.6090541582107544,0.14670501204174874,0.42704054713249207
0.002152313594179176,105000,0.6214335880279541,0.14031450069501264,0.48944246768951416
0.002152313594179176,110000,0.5710472171783447,0.1466696442455429,0.50677090883255
0.002152313594179176,115000,0.5824198932647705,0.16149465601003757,0.7887533903121948
0.002152313594179176,120000,0.6361752645492553,0.15365245127870752,0.7658960819244385
0.002152313594179176,125000,0.6548733827590942,0.12606798031026056,0.6377378702163696
0.002152313594179176,130000,0.6488267107009887,0.14687721107909915,0.7944802045822144
0.002152313594179176,135000,0.6009674754142761,0.13237135072436643,0.41012459993362427
0.002152313594179176,140000,0.56099549036026,0.156368061442374,0.6952228546142578
0.002152313594179176,145000,0.580728824710846,0.15204915982940947,0.9167459607124329
0.002152313594179176,150000,0.5707259699821472,0.13896835700925342,0.596049427986145
0.002152313594179176,155000,0.5850806638717652,0.1315097106893413,0.6176098585128784
0.002152313594179176,160000,0.5893417860031128,0.1677712318050499,0.4929964244365692
0.002152313594179176,165000,0.5761396072387696,0.13789460587995658,0.6838970184326172
0.002152313594179176,170000,0.57812779712677,0.11472924867883764,0.5481579899787903
0.002152313594179176,175000,0.5864228376388549,0.15458136368599323,0.7699761390686035
0.002152313594179176,180000,0.5783880867004395,0.15252564835905288,0.6327159404754639
0.002152313594179176,185000,0.6100100143432617,0.16066823534594615,0.8515195846557617
0.002152313594179176,190000,0.5863262174606323,0.1494442592584269,0.752357542514801
0.002152313594179176,195000,0.5646591661453247,0.15503279663351652,0.3481321334838867
0.002152313594179176,200000,0.5689657108306885,0.14788044311552112,0.33600762486457825
