station,date,nhrh_pred_lwmwet_1_tot
OSTI4,2020-02-15,0
AHTI4,2020-02-15,0
BNKI4,2020-02-16,900
GVNI4,2020-02-16,0
OSTI4,2020-02-16,660
AHTI4,2020-02-16,720
AHTI4,2020-02-17,900
OSTI4,2020-02-17,1080
BNKI4,2020-02-17,480
GVNI4,2020-02-17,120
BNKI4,2020-02-18,780
GVNI4,2020-02-18,60
AHTI4,2020-02-18,180
OSTI4,2020-02-18,360
OSTI4,2020-02-19,60
AHTI4,2020-02-19,0
GVNI4,2020-02-19,360
BNKI4,2020-02-19,0
AHTI4,2020-02-20,0
OSTI4,2020-02-20,0
BNKI4,2020-02-20,0
GVNI4,2020-02-20,0
OSTI4,2020-02-21,0
BNKI4,2020-02-21,0
AHTI4,2020-02-21,0
GVNI4,2020-02-21,0
GVNI4,2020-02-22,0
BNKI4,2020-02-22,0
AHTI4,2020-02-22,0
OSTI4,2020-02-22,0
GVNI4,2020-02-23,60
OSTI4,2020-02-23,0
AHTI4,2020-02-23,360
BNKI4,2020-02-23,120
GVNI4,2020-02-24,0
BNKI4,2020-02-24,120
AHTI4,2020-02-24,0
OSTI4,2020-02-24,0
GVNI4,2020-02-25,0
OSTI4,2020-02-25,0
AHTI4,2020-02-25,0
BNKI4,2020-02-25,0
OSTI4,2020-02-26,0
GVNI4,2020-02-26,0
BNKI4,2020-02-26,0
AHTI4,2020-02-26,120
OSTI4,2020-02-27,0
AHTI4,2020-02-27,60
BNKI4,2020-02-27,0
GVNI4,2020-02-27,0
BNKI4,2020-02-28,120
OSTI4,2020-02-28,0
AHTI4,2020-02-28,0
GVNI4,2020-02-28,0
GVNI4,2020-02-29,360
OSTI4,2020-02-29,600
BNKI4,2020-02-29,60
AHTI4,2020-02-29,480
OSTI4,2020-03-01,0
BNKI4,2020-03-01,0
GVNI4,2020-03-01,0
AHTI4,2020-03-01,0
OSTI4,2020-03-02,420
AHTI4,2020-03-02,0
BNKI4,2020-03-02,120
GVNI4,2020-03-02,180
OSTI4,2020-03-03,120
GVNI4,2020-03-03,0
BNKI4,2020-03-03,600
AHTI4,2020-03-03,0
AHTI4,2020-03-04,540
OSTI4,2020-03-04,360
GVNI4,2020-03-04,0
BNKI4,2020-03-04,420
OSTI4,2020-03-05,0
GVNI4,2020-03-05,0
BNKI4,2020-03-05,0
AHTI4,2020-03-05,0
GVNI4,2020-03-06,0
AHTI4,2020-03-06,60
OSTI4,2020-03-06,120
BNKI4,2020-03-06,0
BNKI4,2020-03-07,0
AHTI4,2020-03-07,0
GVNI4,2020-03-07,0
OSTI4,2020-03-07,0
OSTI4,2020-03-08,0
AHTI4,2020-03-08,0
GVNI4,2020-03-08,0
BNKI4,2020-03-08,0
OSTI4,2020-03-09,900
GVNI4,2020-03-09,1080
BNKI4,2020-03-09,780
AHTI4,2020-03-09,780
GVNI4,2020-03-10,780
BNKI4,2020-03-10,720
AHTI4,2020-03-10,900
OSTI4,2020-03-10,900
BNKI4,2020-03-11,840
GVNI4,2020-03-11,720
AHTI4,2020-03-11,480
OSTI4,2020-03-11,780
BNKI4,2020-03-12,1260
GVNI4,2020-03-12,0
AHTI4,2020-03-12,180
OSTI4,2020-03-12,540
BNKI4,2020-03-13,0
GVNI4,2020-03-13,0
OSTI4,2020-03-13,0
