lr/train,train/loss,train/loss_std,time/total_timesteps,train/loss_avg
0.004386709580506782,0.8645148873329163,6.390755872101086,5000,4.058147363779316
0.004386709580506782,0.8147855401039124,0.08304082162896255,10000,0.8757577248573303
0.004386709580506782,0.7570991516113281,0.05285556814168302,15000,0.8147164655685425
0.004386709580506782,0.7369433641433716,0.055446581813999224,20000,0.757018824005127
0.004386709580506782,0.8512219190597534,0.0711908471343715,25000,0.7312881284713745
0.004386709580506782,0.7817484140396118,0.08235859929965424,30000,0.7593980367660522
0.004386709580506782,0.7416443824768066,0.06553203941655991,35000,0.7728493648529052
0.004386709580506782,0.7735322713851929,0.05879477009910232,40000,0.7642419670104981
0.004386709580506782,0.8245882987976074,0.07400222094759301,45000,0.7403054145812988
0.004386709580506782,0.7740464210510254,0.05199725255319313,50000,0.7819406700134277
0.004386709580506782,0.753384530544281,0.0754916392334861,55000,0.7659269444465637
0.004386709580506782,0.6754324436187744,0.05784389313033759,60000,0.7606124018669128
0.004386709580506782,0.8515865802764893,0.08460384661694971,65000,0.7158957141876221
0.004386709580506782,0.7681984305381775,0.06172744146523104,70000,0.7256311155319214
0.004386709580506782,0.6750409603118896,0.06247193028588262,75000,0.6758850648880005
0.004386709580506782,0.7552874088287354,0.0921125112212533,80000,0.6639041286468506
0.004386709580506782,0.58399897813797,0.10288315375861824,85000,0.6700815114021301
0.004386709580506782,0.5719884037971497,0.0937586233827211,90000,0.6387556447029114
0.004386709580506782,0.7179006934165955,0.0668031085144143,95000,0.6365764567375183
0.004386709580506782,0.6391009092330933,0.12793675475891825,100000,0.6593217608451843
0.004386709580506782,0.6251275539398193,0.073452860532115,105000,0.6343973712921143
0.004386709580506782,0.5765427350997925,0.07369952227534277,110000,0.6149142311096192
0.004386709580506782,0.4800746440887451,0.06513018343628775,115000,0.6201364349365235
0.004386709580506782,0.4728682041168213,0.09895864299106163,120000,0.5706345302581787
0.004386709580506782,0.6288792490959167,0.11773422407724041,125000,0.5890191271781922
0.004386709580506782,0.6143529415130615,0.06411835840717041,130000,0.5479663640022278
0.004386709580506782,0.5740537643432617,0.09753402837272772,135000,0.5194856346130371
0.004386709580506782,0.7752189040184021,0.10757846221898933,140000,0.48724707984924315
0.004386709580506782,0.5935538411140442,0.10636783061387227,145000,0.5177137921333314
0.004386709580506782,0.6708766222000122,0.11626226238786551,150000,0.49567371015548706
0.004386709580506782,0.6686649322509766,0.12663858305389167,155000,0.4384735263824463
0.004386709580506782,0.38222792744636536,0.12225880083170425,160000,0.460688932800293
0.004386709580506782,0.3284642994403839,0.11015584935683467,165000,0.4451397846698761
0.004386709580506782,0.3826758861541748,0.11513334820351606,170000,0.4503397693157196
0.004386709580506782,0.29266825318336487,0.10253181541715391,175000,0.4370547481060028
0.004386709580506782,0.496000736951828,0.12808163767792208,180000,0.4946835550785065
0.004386709580506782,0.5395715832710266,0.12891908574714026,185000,0.5673479250907898
0.004386709580506782,0.5480715036392212,0.13204923235063157,190000,0.5283012095451355
0.004386709580506782,0.644794225692749,0.11069550529973386,195000,0.45519675521850583
0.004386709580506782,0.5430163741111755,0.12304289225236628,200000,0.42919276008605955
