station,valid,in_high,in_low,in_rh_min,in_rh,in_rh_max,in_solar_mj,in_precip,in_speed,in_gust,in_et,out_lwmv_1,out_lwmv_2,out_lwmdry_1_tot,out_lwmcon_1_tot,out_lwmwet_1_tot,out_lwmdry_2_tot,out_lwmcon_2_tot,out_lwmwet_2_tot,out_bpres_avg
OSTI4,2020-01-09,62132,27.4963999999999,49.41,64.8029166857402,84.8,4955,0,6.196324,28.923635,0.0806299212598425,275.4,276.8,1293,147.3,0,187.8,1252,0,670.8
BNKI4,2020-01-09,54.0499999999999,21.9757999999999,56.52,71.0304164886475,93.7,2187,0,5.599061,15.622789,0.0461023582677165,2029,294,0,0,1440,305.5,1113,22,564.6
AHTI4,2020-01-09,56606,26.0977999999999,54.96,70.1037500699361,88.4,5147,0,8.390761,26.79854,0.0661810984251969,277.6,276.9,0,1440,0,103.8,1336,0,1011
GVNI4,2020-01-09,49.9279999999999,27.8257999999999,46.67,61.5466667811076,81.6,8.1,0,8.856046,22.3694,0.077992125984252,162.3,274.9,1440,0,0,1230,210,0,590.9
GVNI4,2020-01-10,27.9482,11.4619999999999,71.36,85.1174999872844,93.6,1615,0.29999998,8.296811,24.293167,0.0128346448818898,165.8,274.3,1440,0,0,0,1440,0,608.4
OSTI4,2020-01-10,30.9218,21.8516,84.4,92.3166666030884,98.2,1165,1.04,2.8252552,11.164568,0.00448818858267717,292.5,342.3,0,869,571,0,664.5,775.5,722.4
AHTI4,2020-01-10,26.8825999999999,15.9439999999999,75.16,84.2204163869222,90.1,1725,0,9.406333,22.839157,0.01559055,277.4,276.1,0,1440,0,0,1440,0,1022
BNKI4,2020-01-10,31.5211999999999,24.2257999999999,79.9,92.5333337783814,99.4,2987,0.74,2.903548,10.390586,0.0135826771653543,2023,274.3,0,0,1440,396,734.8,309.3,599.6
OSTI4,2020-01-11,21974,16.34,84.5,87.5124994913737,94.6,3576,0,0,0,0.00901574803149607,282.3,336.1,0,764.3,675.8,0,0,1440,746.9
BNKI4,2020-01-11,24.5948,16.2679999999999,58.52,75.6162492434184,99.3,3723,0,3.8318784,11.077327,0.0215748031496063,2299,275.7,0,0,1440,174,1266,0,605.1
GVNI4,2020-01-11,21.4429999999999,5.21599999999995,51.12,65.4362500508626,79.52,9.73,0,6.080003,20.311415,0.0299999984251969,166.5,275,1440,0,0,706.3,733.8,0,610.1
AHTI4,2020-01-11,19.5403999999999,9.26599999999995,66.72,74.3770825068156,86.7,6612,0,7.947848,20.982498,0.0238582677165354,279.5,277.4,0,1440,0,0,1440,0,1021
BNKI4,2020-01-12,25.5164,17.6143999999999,67.36,82.6966667175293,99.3,4156,0,2.8968372,11.296548,0.0145669291338583,2245,275.6,0,0,1440,328.5,1112,0,605.5
GVNI4,2020-01-12,26906,10.9759999999999,80.1,91.8291660944621,98.7,1785,0,4.274792,14.423789,0.00440944866141732,193,310.3,1440,0,0,0,852,588.5,609.7
AHTI4,2020-01-12,26.7727999999999,12.5000006,78.94,87.7850001653035,96.9,3634,0.16999999,5.1270666,15.609367,0.0138188976377953,279,277.7,0,1440,0,0,1440,0,1023
OSTI4,2020-01-12,27.5575999999999,20.3162,84.5,92.7333335876465,99.3,4398,0,0,0,0.0115354330708661,282.9,333.4,0,1440,0,0,0,1440,737.2
GVNI4,2020-01-13,34.1851999999999,25.5541999999999,91.7,97.9458344777425,99.5,2546,0,6.7287154,19.304792,0.00736220551181102,167,293.8,1375,15.5,49.25,0,0,1440,606.2
AHTI4,2020-01-13,33.4274,25.6693999999999,91.7,95.7333332697551,99.5,4.78,0.040000003,7.113469,20.356155,0.0142125984251969,313.6,294.6,0,1233,206.8,0,1308,131.8,1022
BNKI4,2020-01-13,32315,25.4551999999999,80,93.2833340962728,99.4,4.08,0.020000001,4.5991488,17.984997,0.0151181102362205,2009,275.6,0,0,1440,881,559.5,0,602.6
OSTI4,2020-01-13,33.3625999999999,27.4963999999999,89.2,95.6874996821086,99.3,4.16,0.010000001,0,0,0.0104724409448819,360.2,389.2,0,1098,342.5,0,0,1440,716.6
GVNI4,2020-01-14,33.2653999999999,20.1721999999999,78.54,89.4149996439616,99.5,10.05,0,6.7376633,16.74797,0.0307086625984252,161.6,287.1,1440,0,0,202.5,792.3,445.3,606
BNKI4,2020-01-14,34.3939999999999,17.7368,86.5,95.2375008265178,99.4,3661,0.05,2.1094344,12.5693655,0.0135433098425197,2568,290.1,0,0,1440,458,375.3,606.8,600
AHTI4,2020-01-14,34.7143999999999,12.38,76.53,89.6362492243449,100,7417,0.05,4.77363,16.17755,0.020275592519685,289.7,287,0,931,509.5,0,1064,375.8,1022
OSTI4,2020-01-14,34.9573999999999,22.5878,79.43,93.3654158910116,99.3,9.01,0,4.274792,14.468528,0.0224803149606299,282.9,287,180,724.5,535.5,10,762,668,710.1
GVNI4,2020-01-15,33.5965999999999,3.99199999999993,66.7,82.5891669591268,98.4,5423,0,7.8740287,22.078598,0.0185433070866142,168.6,274.4,1440,0,0,162.5,1253,24.5,607.9
BNKI4,2020-01-15,29.9912,4.67599999999993,83.2,96.2791681289673,99.4,2359,0.010000001,1.7023113,7.3215046,0.00948819015748032,2633,275.8,0,0,1440,105.5,433,902,604
AHTI4,2020-01-15,27.4424,2.19199999999993,73.34,87.2012497584025,97.7,4207,0,8.066405,18.566603,0.0147244110236221,280.1,280.1,0,791.8,648.3,0,229.8,1210,1026
OSTI4,2020-01-15,29.8165999999999,7.0699999999999,75.66,92.3679164250692,99.3,2991,0.010000001,6.151585,15.900169,0.0088188968503937,274.1,276.2,0,1399,41.5,0,812,628,730.9
OSTI4,2020-01-16,9.46399999999997,-0.832000000000079,65.56,71.2712500890096,78.82,9.25,0,4.5857267,15.580287,0.0197637807086614,274.2,275.5,1241,199.3,0,75,1365,0,752.9
GVNI4,2020-01-16,14.2159999999999,-1.17400000000008,57.45,68.9570832252502,76.7,8.4,0,5.1158814,11.444185,0.0205118110236221,165.8,274.4,1440,0,0,546.3,894,0,611.3
AHTI4,2020-01-16,7.35799999999994,-6.19600000000006,64.31,70.7933336893718,74.3,9.79,0,5.140488,14.088248,0.0181889755905512,277.3,276,0,1440,0,11.25,1429,0,1043
BNKI4,2020-01-16,11.5339999999999,-3.10000000000006,55.08,69.8100001017253,82.3,9.83,0,1.7783673,7.527303,0.0174409433070866,2643,276.6,0,0,1440,433.8,1006,0,608.1
OSTI4,2020-01-17,30.3655999999999,8.85199999999991,81.7,92.3791659673055,99.3,1601,0.49,1.5457255,7.657046,0.00437007913385827,287.7,326.5,4,1294,142.5,0,1160,279.8,741.6
GVNI4,2020-01-17,35.0437999999999,13064,72.18,91.535000483195,100,1352,0.25,8.891836,25.68007,0.00818897598425197,272.7,447.9,1418,22.5,0,0,669.5,770.5,608.2
AHTI4,2020-01-17,29.3252,3.41599999999995,73.94,87.8587503433228,98,1755,0.43,10.178078,25.948505,0.00948818897637795,283,281,0,1440,0,0,1440,0,1028
BNKI4,2020-01-17,26.6827999999999,3.09199999999993,70.68,87.4841664632161,99.4,2184,0.5,6.7868757,20.042982,0.00708661338582677,2431,280.1,0,0,1440,64,1376,0,606.2
AHTI4,2020-01-18,30.6085999999999,-1.30000000000006,77.28,89.1200002034505,99.7,7438,0,7.833764,20.199568,0.0122440929133858,280.8,279.4,0,1440,0,0,1440,0,1020
GVNI4,2020-01-18,34.3094,8.34799999999996,57.74,73.0683336257935,99.4,8.25,0,12.30317,32.03298,0.0306299212598425,203.4,330.3,1440,0,0,0,0,1440,609
BNKI4,2020-01-18,30.9721999999999,-2.12800000000008,74.18,89.4687506357829,99.5,3472,0,2.5948503,12.479888,0.0098818905511811,2613,278.7,0,0,1440,43.5,1397,0,603.8
OSTI4,2020-01-18,33.3625999999999,0.157999999999942,65.59,81.3904164632161,99.3,9.76,0,9.023816,24.98662,0.0234251956692913,273.5,275.6,398.8,615,426.3,0,645.5,794.5,737.1
BNKI4,2020-01-19,12.3259999999999,-3.10000000000006,76.26,80.1495834986369,86.6,5678,0,1.9058728,7.688363,0.0119685047244095,2583,278.5,0,0,1440,5.25,1435,0,608.5
OSTI4,2020-01-19,5.53999999999996,-2.97400000000008,68.83,75.3687502543132,82.7,7295,0,7.0508347,16.09031,0.0138188976377953,273.5,275.6,1440,0,0,0,1440,0,753.8
GVNI4,2020-01-19,9.49999999999994,-0.544000000000034,59.24,62.9316662152608,70.52,10.81,0,7.3259788,22.3694,0.0242125964566929,202.7,328.3,1440,0,0,0,0,1440,611.1
AHTI4,2020-01-19,6.02599999999993,-3.37000000000007,72.71,76.2054166793823,79.5,7564,0,5.4558964,15.287249,0.0127952755905512,281.5,279.4,0,1440,0,0,1440,0,1035
BNKI4,2020-01-20,23.5381999999999,4.74799999999996,70.01,84.569582939148,94,9.1,0,0.9842536,4.545462,0.0183858283464567,2620,284.7,0,0,1440,38.5,1379,23,605.1
AHTI4,2020-01-20,10706,-5.40400000000007,78.88,82.4349997838338,87.3,6213,0,3.5835779,9.236325,0.011574805511811,285.6,284.3,0,1289,151,0,1414,26,1039
GVNI4,2020-01-20,6.97999999999998,-0.742000000000058,65.32,73.1958328882853,83.7,10.84,0,4.4671693,10.858107,0.0179527547244095,203.4,325.7,1440,0,0,0,0,1440,611.3
OSTI4,2020-01-20,12.3439999999999,-0.652000000000038,78.52,83.0649992624919,89.6,7418,0,2.8834157,8.082064,0.0121653562992126,277.6,282.4,1044,396.5,0,1.75,1438,0,752
OSTI4,2020-01-21,25.9016,-1.93000000000005,75.34,84.0933332443237,91.1,9.9,0,2.5769548,15.65187,0.0177165326771654,274.8,276.1,347.3,1093,0,0.5,1088,351.8,747
GVNI4,2020-01-21,30281,-2.75800000000007,66.55,79.232500076294,85.5,9.68,0,7.386376,20.333784,0.0250393716535433,190.3,302.8,1440,0,0,0,0,1440,610.4
