lr/train,train/loss_avg,train/loss_std,train/loss,time/total_timesteps
0.0002524667098517224,1.172583772601406,0.11126729109675515,1.0120532512664795,5000
0.0002524667098517224,0.9826575555801391,0.07210931265126383,0.9675065875053406,10000
0.0002524667098517224,0.9251180295944214,0.05106780119882481,0.8229415416717529,15000
0.0002524667098517224,0.8570408275604248,0.05232925970378563,0.8333566188812256,20000
0.0002524667098517224,0.9009456825256348,0.056637940743277826,0.8556780815124512,25000
0.0002524667098517224,0.8841785737991333,0.062099100061122625,0.8007068037986755,30000
0.0002524667098517224,0.8576531858444214,0.053338178476397304,0.9081215858459473,35000
0.0002524667098517224,0.8421709312438965,0.08184451419823194,0.7254246473312378,40000
0.0002524667098517224,0.8247912578582763,0.05820080617190943,0.8411538600921631,45000
0.0002524667098517224,0.8215083335876465,0.04516647236122031,0.8261243104934692,50000
0.0002524667098517224,0.8220558110237122,0.05480255567966583,0.8344647288322449,55000
0.0002524667098517224,0.8085826533317566,0.06046149504722544,0.8410882353782654,60000
0.0002524667098517224,0.7911357152938843,0.06680059270410517,0.7980824708938599,65000
0.0002524667098517224,0.7750699987411499,0.07333133352993589,0.7088871002197266,70000
0.0002524667098517224,0.7893966821670533,0.05207562550094382,0.807918906211853,75000
0.0002524667098517224,0.7899594060897828,0.050844227257672084,0.7790886163711548,80000
0.0002524667098517224,0.7642220376968384,0.05600945660602308,0.716072678565979,85000
0.0002524667098517224,0.7796962921142578,0.053383758576119156,0.7754915356636047,90000
0.0002524667098517224,0.7924481424331665,0.07305859565473,0.836932897567749,95000
0.0002524667098517224,0.754380838394165,0.053132834094563416,0.7847355604171753,100000
0.0002524667098517224,0.759322262954712,0.05909864127835729,0.7728068828582764,105000
0.0002524667098517224,0.7706066082000732,0.05765241015187795,0.8144557476043701,110000
0.0002524667098517224,0.7261959312438965,0.049964365630512896,0.7138004302978516,115000
0.0002524667098517224,0.7475576553344726,0.07165560636962515,0.820672869682312,120000
0.0002524667098517224,0.7461642375946045,0.0728995267189433,0.7975442409515381,125000
0.0002524667098517224,0.7175048301696777,0.06177917078673154,0.826478123664856,130000
0.0002524667098517224,0.7224121873855591,0.059748994765837025,0.7229586839675903,135000
0.0002524667098517224,0.7261636301040649,0.08571364163602839,0.7384636402130127,140000
0.0002524667098517224,0.7371132263183594,0.07929519692086039,0.6368417739868164,145000
0.0002524667098517224,0.6932185768127441,0.062213889261016765,0.6497023105621338,150000
0.0002524667098517224,0.7150619844436645,0.08286508214004755,0.7198375463485718,155000
