lr/train,train/loss,train/loss_std,time/total_timesteps,train/loss_avg
0.00010254195286055201,0.8280585408210754,0.250104777785535,5000,1.146189246270146
0.00010254195286055201,0.9075738191604614,0.08836205488700553,10000,0.8645108778953552
0.00010254195286055201,0.8585999608039856,0.05662683904502099,15000,0.831764954662323
0.00010254195286055201,0.6820541620254517,0.05855928802427819,20000,0.7962865593910218
0.00010254195286055201,0.7884922027587891,0.07946246168496016,25000,0.7613695152282715
0.00010254195286055201,0.7815492153167725,0.0904229308405311,30000,0.7543096290588379
0.00010254195286055201,0.6911787390708923,0.056691088967689526,35000,0.7168670815467835
0.00010254195286055201,0.632871150970459,0.08467317864760292,40000,0.7074466017723083
0.00010254195286055201,0.8322458267211914,0.1232433508929685,45000,0.7134158065795898
0.00010254195286055201,0.7371335029602051,0.06776843812699491,50000,0.7081926300048829
0.00010254195286055201,0.6261194944381714,0.11408140434671854,55000,0.6902446100234986
0.00010254195286055201,0.7144045233726501,0.09749859491092705,60000,0.7327104013442993
0.00010254195286055201,0.5719670057296753,0.08295591237461392,65000,0.6306439577102662
0.00010254195286055201,0.7165786623954773,0.10282693272138896,70000,0.666593794631958
0.00010254195286055201,0.6286497712135315,0.08776743228521203,75000,0.6432501286506653
0.00010254195286055201,0.6470209956169128,0.12140813055380152,80000,0.6003984314918518
0.00010254195286055201,0.7245153188705444,0.13062991842139823,85000,0.6274183477401734
0.00010254195286055201,0.498529314994812,0.10111271498236289,90000,0.5836589406967163
0.00010254195286055201,0.57161545753479,0.07959432968096787,95000,0.5735508224487305
0.00010254195286055201,0.5157349109649658,0.1680256534238087,100000,0.6027317142486572
0.00010254195286055201,0.7755743265151978,0.12825088140249383,105000,0.5873149461746215
0.00010254195286055201,0.5164152383804321,0.08580188260045664,110000,0.6199649515151977
0.00010254195286055201,0.4564388394355774,0.09723846852645662,115000,0.5732910490989686
0.00010254195286055201,0.4898166060447693,0.11761783282876292,120000,0.5940531155586243
0.00010254195286055201,0.7519962787628174,0.12600796352677,125000,0.5838073314666749
0.00010254195286055201,0.7580908536911011,0.10422710509859004,130000,0.5994987327575684
0.00010254195286055201,0.7308629751205444,0.1371140479364275,135000,0.5737835485458374
0.00010254195286055201,0.8050858974456787,0.11440363550418452,140000,0.5403749448776245
0.00010254195286055201,0.5595194697380066,0.09795544117716261,145000,0.5560281599998474
0.00010254195286055201,0.7427235841751099,0.10838441628947172,150000,0.5215949734687805
0.00010254195286055201,0.5447344779968262,0.12307301276803055,155000,0.5023831005096435
0.00010254195286055201,0.47561389207839966,0.10029706967025713,160000,0.49843283157348633
0.00010254195286055201,0.41001319885253906,0.09876659561798769,165000,0.5027575103759766
0.00010254195286055201,0.4556770622730255,0.10376505845491531,170000,0.5024363450050354
0.00010254195286055201,0.3453816771507263,0.10827331168442333,175000,0.49081269035339353
0.00010254195286055201,0.44179603457450867,0.1240452907756994,180000,0.5418241806983948
0.00010254195286055201,0.3885955810546875,0.09911350097754619,185000,0.5303652330398559
0.00010254195286055201,0.5972972512245178,0.12319270358710323,190000,0.46799502925872805
0.00010254195286055201,0.6197826862335205,0.0994834159710145,195000,0.5043905111312866
0.00010254195286055201,0.5580582618713379,0.11836987548382977,200000,0.46621919136047363
