run/seed,run/n_eval,run/n_bootstrap,eval/model/batch_error,eval/model/win_rate_over_baseline,eval/seed,train/lr,eval/model/std_error,eval/model/baseline_std,eval/model/baseline_error,time/total_timesteps
42,5,2,,,,,,,,
,,,0.6095189116895199,0.6000000238418579,937660284,0.001,0.4849472795415395,0.4062510744412299,0.7804256781935692,10000
,,,0.8030182421207428,0.5,1674889040,0.001,0.27689031355102534,0.7683358832783322,1.0887617379426957,20000
,,,0.5355901747941971,0.6666666865348816,1228906556,0.001,0.2908837044121946,0.44734706135404784,1.333911919593811,30000
,,,0.5830613957718015,0.6499999761581421,132690305,0.001,0.6365345251888176,0.3826437605091574,0.6267308140988461,40000
,,,0.7028072118759155,0.7199999690055847,3280224990,0.001,0.37078370039283703,0.23800053814178682,1.309930109977722,50000
,,,0.32052648074459283,0.7333333492279053,1487100194,0.001,0.5068735263139009,0.19699631898363057,1.0011899709701537,60000
,,,1.3917941503226756,0.6857143044471741,1915951894,0.001,0.8780723824986286,0.31952295728594576,1.1788172245025634,70000
,,,0.5077143996953964,0.7249999642372131,907809556,0.001,0.45406749355670184,0.32653177202302147,1.1195598244667053,80000
,,,0.6074299894273281,0.7111110687255859,1395221391,0.001,0.6022575832680118,0.362646507154458,1.0507177233695983,90000
,,,0.7879745781421661,0.6999999284744263,1127682394,0.001,0.5554271337224369,0.34693875104062394,1.221229910850525,100000
,,,0.8780201561748981,0.6909090280532837,927447032,0.001,1.5227010618880934,0.4961595570396792,1.0009781837463378,110000
,,,0.48002790939062834,0.699999988079071,3662640567,0.001,0.4954199770725627,0.5326525072815704,0.9925890490412712,120000
,,,0.7437670309096575,0.7076922655105591,283708847,0.001,1.0983991385481118,0.38486711650175276,1.2081150650978087,130000
,,,0.09852341264486313,0.7285714149475098,1464737734,0.001,0.1589110386330119,0.2693060553477893,1.2788209795951844,140000
,,,0.8240420699119568,0.7333333492279053,2056874070,0.001,0.5419724321575294,0.29704346926813696,1.1354977250099183,150000
,,,0.08543795396690257,0.75,1228331174,0.001,0.09444636657468532,0.44496135917013846,1.1920015454292296,160000
,,,0.1964920660480857,0.7529411911964417,3497727521,0.001,0.2876445391146471,0.14624603764197783,0.9896037340164184,170000
,,,0.12162839348457055,0.7666666507720947,3096045522,0.001,0.15110996556064163,0.2515084867472383,1.3972340106964112,180000
,,,0.07685077199712395,0.7789473533630371,1888149994,0.001,0.057989648004575095,0.4248595181901043,0.9189050644636154,190000
,,,0.9320775155094452,0.7700000405311584,3096743570,0.001,1.3551894145631616,0.4261300406268433,0.8210616849362851,200000
