time/total_timesteps,train/loss,lr/train,train/loss_avg,train/loss_std
5000,0.7826334238052368,0.00010808904927256532,1.3384506756700512,0.7770484003970065
10000,0.7708315849304199,0.00010808904927256532,0.7694810674667358,0.07226458534282505
15000,0.9493507146835327,0.00010808904927256532,0.7290404512405395,0.10107352307128058
20000,0.6115541458129883,0.00010808904927256532,0.7146330793380737,0.08659496518345315
25000,0.5480349659919739,0.00010808904927256532,0.6669338356971741,0.09332999509314194
30000,0.5973665714263916,0.00010808904927256532,0.6341981291770935,0.09320837200415895
35000,0.6188585758209229,0.00010808904927256532,0.6299862186431885,0.07518112989768394
40000,0.7058223485946655,0.00010808904927256532,0.6400940250396728,0.09691034958773394
45000,0.7305473685264587,0.00010808904927256532,0.6081232954978942,0.08855646764777333
50000,0.6028645634651184,0.00010808904927256532,0.5782995898246766,0.09965411350667036
55000,0.7088418006896973,0.00010808904927256532,0.5939197942733765,0.09534089918794302
60000,0.4023270010948181,0.00010808904927256532,0.5704217479705811,0.10212723743406688
65000,0.5524426102638245,0.00010808904927256532,0.585371711063385,0.133904989243295
70000,0.6445450782775879,0.00010808904927256532,0.5546563250541687,0.08481890663206852
75000,0.446662575006485,0.00010808904927256532,0.5488075475215912,0.0920313171814812
80000,0.5086890459060669,0.00010808904927256532,0.5294190989017487,0.09106946095101502
85000,0.533145546913147,0.00010808904927256532,0.5252868570327759,0.1014331277197331
90000,0.32158905267715454,0.00010808904927256532,0.49013349685668944,0.07508054940952467
95000,0.7052621245384216,0.00010808904927256532,0.5010851435661315,0.11208090557901908
100000,0.5438019037246704,0.00010808904927256532,0.5144701594352722,0.10400768672715786
105000,0.6016011238098145,0.00010808904927256532,0.46694137420654297,0.09407301816360658
110000,0.28835153579711914,0.00010808904927256532,0.4607874168395996,0.09277209615343554
115000,0.6786949038505554,0.00010808904927256532,0.41850957078933715,0.08577143639497294
120000,0.6395137310028076,0.00010808904927256532,0.47537600049972534,0.11466525009710074
125000,0.47471803426742554,0.00010808904927256532,0.4789224585533142,0.10415897067179034
130000,0.3130296766757965,0.00010808904927256532,0.4180876054763794,0.09649036582143486
135000,0.41649696230888367,0.00010808904927256532,0.4590770940303803,0.07817773791712407
140000,0.41027534008026123,0.00010808904927256532,0.40672314848899843,0.07836715944777312
145000,0.2639668583869934,0.00010808904927256532,0.4440600792884827,0.09216524810192106
150000,0.33420640230178833,0.00010808904927256532,0.4155859166145325,0.08135735642974243
155000,0.5797821879386902,0.00010808904927256532,0.437961027431488,0.09535813131960866
160000,0.48891007900238037,0.00010808904927256532,0.4274326930046082,0.0850091033584816
165000,0.33485767245292664,0.00010808904927256532,0.3964097857952118,0.07218599165250734
170000,0.38661903142929077,0.00010808904927256532,0.41617366738319395,0.06959274959459354
175000,0.3600141108036041,0.00010808904927256532,0.3943271897792816,0.06154282244410326
180000,0.38422340154647827,0.00010808904927256532,0.39085006222724916,0.084292936408924
185000,0.3836168050765991,0.00010808904927256532,0.39901400012969973,0.08233498820796217
190000,0.4906073212623596,0.00010808904927256532,0.4196554832458496,0.0917552287220356
195000,0.40036267042160034,0.00010808904927256532,0.3875978049278259,0.08629779478664856
200000,0.2576430141925812,0.00010808904927256532,0.3692227080345154,0.08815923419693557
